time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-09T15:05:00-05:00,6009.75,6011,6008.75,6009,6001.777171906303,6017.661528559198
2025-06-09T15:10:00-05:00,6009,6009.25,6007,6009.25,6002.488869819988,6016.860430601179
2025-06-10T08:30:00-05:00,6016.25,6023.75,6016.25,6017.5,6002.488869819988,6016.921341972496
2025-06-10T08:35:00-05:00,6017.5,6024,6016.5,6022.5,6002.488869819988,6017.45264273702
2025-06-10T08:40:00-05:00,6022.5,6024,6015.75,6019,6002.488869819988,6017.600010095399
2025-06-10T08:45:00-05:00,6019.25,6022.75,6017.25,6021.75,6002.488869819988,6017.995247229171
2025-06-10T08:50:00-05:00,6022,6025.5,6018.5,6019.75,6002.488869819988,6018.162366540678
2025-06-10T08:55:00-05:00,6019.5,6021,6017.25,6019.75,6002.488869819988,6018.31356972728
2025-06-10T09:00:00-05:00,6020,6023,6019.25,6021.25,6002.488869819988,6018.593229753254
2025-06-10T09:05:00-05:00,6021.5,6023.25,6020,6020.75,6002.488869819988,6018.79863644342
2025-06-10T09:10:00-05:00,6021,6025.25,6020.75,6023.75,6002.488869819988,6019.27019487738
2025-06-10T09:15:00-05:00,6023.5,6026.5,6023.25,6025,6002.488869819988,6019.815890603344
2025-06-10T09:20:00-05:00,6025,6027,6022.75,6026.5,6002.488869819988,6020.452472450645
2025-06-10T09:25:00-05:00,6026.5,6026.75,6023.25,6026,6004.728025075227,6020.980808407726
2025-06-10T09:30:00-05:00,6026.25,6027,6024.25,6025.25,6004.728025075227,6021.38739808318
2025-06-10T09:35:00-05:00,6025.25,6027,6024.5,6026.75,6004.728025075227,6021.8981220752585
2025-06-10T09:40:00-05:00,6026.75,6030.75,6026,6029.75,6004.728025075227,6022.645919972853
2025-06-10T09:45:00-05:00,6029.75,6030.5,6027.75,6029,6004.728025075227,6023.251070451629
2025-06-10T09:50:00-05:00,6029,6030.5,6027.5,6029.25,6004.728025075227,6023.822397075283
2025-06-10T09:55:00-05:00,6029.5,6029.5,6024.5,6025,6004.728025075227,6023.93454973478
2025-06-10T10:00:00-05:00,6025,6028.25,6023.5,6028,6004.728025075227,6024.321735474325
2025-06-10T10:05:00-05:00,6028,6029.5,6024.5,6024.5,6004.728025075227,6024.338713048199
2025-06-10T10:10:00-05:00,6024.5,6027.5,6023,6026.25,6004.728025075227,6024.520740376942
2025-06-10T10:15:00-05:00,6026.25,6028,6025,6027.25,6004.728025075227,6024.780669864852
2025-06-10T10:20:00-05:00,6027.25,6027.75,6024.75,6025.75,6004.728025075227,6024.872987020581
2025-06-10T10:25:00-05:00,6025.5,6028.75,6025,6026,6006.7539274490155,6024.980321590049
2025-06-10T10:30:00-05:00,6025.75,6026,6005,6014.5,6006.7539274490155,6023.98219572433
2025-06-10T10:35:00-05:00,6014.5,6018.75,6013,6018.75,6006.7539274490155,6023.483891369632
2025-06-10T10:40:00-05:00,6018.5,6022.5,6017.25,6022,6006.7539274490155,6023.342568382048
2025-06-10T10:45:00-05:00,6022,6024,6020.75,6023,6006.7539274490155,6023.309942821853
2025-06-10T10:50:00-05:00,6022.75,6026.75,6022.75,6025.75,6006.7539274490155,6023.542329219772
2025-06-10T10:55:00-05:00,6025.75,6027.25,6025,6027,6006.7539274490155,6023.871631198841
2025-06-10T11:00:00-05:00,6027,6034.25,6026.5,6030.5,6006.7539274490155,6024.502904417999
2025-06-10T11:05:00-05:00,6030.25,6032.25,6029.75,6030.25,6006.7539274490155,6025.05024685438
2025-06-10T11:10:00-05:00,6030.5,6032,6028,6030.25,6006.7539274490155,6025.545461439677
2025-06-10T11:15:00-05:00,6030.25,6031.5,6029,6030.5,6006.7539274490155,6026.017322254946
2025-06-10T11:20:00-05:00,6030.75,6032.5,6029.75,6031.75,6006.7539274490155,6026.563291563998
2025-06-10T11:25:00-05:00,6032,6034.5,6031,6033.25,6009.277362930062,6027.200120938855
2025-06-10T11:30:00-05:00,6033.25,6034.5,6032.5,6034,6009.277362930062,6027.847728468489
2025-06-10T11:35:00-05:00,6034.25,6035.25,6032.75,6034.25,6009.277362930062,6028.457468614347
2025-06-10T11:40:00-05:00,6034.5,6034.5,6031.75,6032,6009.277362930062,6028.794852555838
2025-06-10T11:45:00-05:00,6032.25,6035.25,6032.25,6033.75,6009.277362930062,6029.266771360044
2025-06-10T11:50:00-05:00,6033.75,6037,6033.75,6036.5,6009.277362930062,6029.955650278135
2025-06-10T11:55:00-05:00,6036.75,6037.5,6035.5,6036,6009.277362930062,6030.531302632598
2025-06-10T12:00:00-05:00,6036.25,6036.75,6032.25,6033.25,6009.277362930062,6030.790226191399
2025-06-10T12:05:00-05:00,6033.25,6036,6031.75,6035.5,6009.277362930062,6031.238776077932
2025-06-10T12:10:00-05:00,6035.5,6041.25,6035.5,6039.5,6009.277362930062,6032.025559308605
2025-06-10T12:15:00-05:00,6039.5,6040.25,6036.25,6036.75,6009.277362930062,6032.475506041119
2025-06-10T12:20:00-05:00,6036.5,6038.5,6036.25,6036.75,6009.277362930062,6032.88260070387
2025-06-10T12:25:00-05:00,6036.5,6037.25,6032.75,6033.75,6011.608090270056,6032.965210160644
2025-06-10T12:30:00-05:00,6033.75,6034,6031.5,6033.5,6011.608090270056,6033.016142526298
2025-06-10T12:35:00-05:00,6033.5,6034.75,6032.25,6033,6011.608090270056,6033.014605142841
2025-06-10T12:40:00-05:00,6033,6033,6029.75,6031.5,6011.608090270056,6032.870357033999
2025-06-10T12:45:00-05:00,6031.25,6031.75,6028.5,6029.75,6011.608090270056,6032.573180173618
2025-06-10T12:50:00-05:00,6029.75,6032,6029.5,6030.5,6011.608090270056,6032.375734442798
2025-06-10T12:55:00-05:00,6030.5,6031.25,6027,6027.5,6011.608090270056,6031.911378781579
2025-06-10T13:00:00-05:00,6027.75,6027.75,6015.25,6021.25,6011.608090270056,6030.89600937381
2025-06-10T13:05:00-05:00,6021.25,6025.25,6017.5,6024,6011.608090270056,6030.239246576304
2025-06-10T13:10:00-05:00,6024,6024.25,6020,6022,6011.608090270056,6029.45455642618
2025-06-10T13:15:00-05:00,6021.75,6025,6021.5,6023.75,6011.608090270056,6028.9112653379725
2025-06-10T13:20:00-05:00,6024,6025.75,6021.75,6025,6011.608090270056,6028.538763877214
